Name,File Name,File
target,target.svg,https://wentin.github.io/feather/icons/target.svg
terminal,terminal.svg,https://wentin.github.io/feather/icons/terminal.svg
thermometer,thermometer.svg,https://wentin.github.io/feather/icons/thermometer.svg
thumbs down,thumbs-down.svg,https://wentin.github.io/feather/icons/thumbs-down.svg
thumbs up,thumbs-up.svg,https://wentin.github.io/feather/icons/thumbs-up.svg
toggle left,toggle-left.svg,https://wentin.github.io/feather/icons/toggle-left.svg
toggle right,toggle-right.svg,https://wentin.github.io/feather/icons/toggle-right.svg
tool,tool.svg,https://wentin.github.io/feather/icons/tool.svg
trash 2,trash-2.svg,https://wentin.github.io/feather/icons/trash-2.svg
trash,trash.svg,https://wentin.github.io/feather/icons/trash.svg
trello,trello.svg,https://wentin.github.io/feather/icons/trello.svg
trending down,trending-down.svg,https://wentin.github.io/feather/icons/trending-down.svg
trending up,trending-up.svg,https://wentin.github.io/feather/icons/trending-up.svg
triangle,triangle.svg,https://wentin.github.io/feather/icons/triangle.svg
truck,truck.svg,https://wentin.github.io/feather/icons/truck.svg
tv,tv.svg,https://wentin.github.io/feather/icons/tv.svg
twitch,twitch.svg,https://wentin.github.io/feather/icons/twitch.svg
twitter,twitter.svg,https://wentin.github.io/feather/icons/twitter.svg
type,type.svg,https://wentin.github.io/feather/icons/type.svg
umbrella,umbrella.svg,https://wentin.github.io/feather/icons/umbrella.svg
underline,underline.svg,https://wentin.github.io/feather/icons/underline.svg
unlock,unlock.svg,https://wentin.github.io/feather/icons/unlock.svg
upload cloud,upload-cloud.svg,https://wentin.github.io/feather/icons/upload-cloud.svg
upload,upload.svg,https://wentin.github.io/feather/icons/upload.svg
user check,user-check.svg,https://wentin.github.io/feather/icons/user-check.svg
user minus,user-minus.svg,https://wentin.github.io/feather/icons/user-minus.svg
user plus,user-plus.svg,https://wentin.github.io/feather/icons/user-plus.svg
user x,user-x.svg,https://wentin.github.io/feather/icons/user-x.svg
user,user.svg,https://wentin.github.io/feather/icons/user.svg
users,users.svg,https://wentin.github.io/feather/icons/users.svg
video off,video-off.svg,https://wentin.github.io/feather/icons/video-off.svg
video,video.svg,https://wentin.github.io/feather/icons/video.svg
voicemail,voicemail.svg,https://wentin.github.io/feather/icons/voicemail.svg
volume 1,volume-1.svg,https://wentin.github.io/feather/icons/volume-1.svg
volume 2,volume-2.svg,https://wentin.github.io/feather/icons/volume-2.svg
volume x,volume-x.svg,https://wentin.github.io/feather/icons/volume-x.svg
volume,volume.svg,https://wentin.github.io/feather/icons/volume.svg
watch,watch.svg,https://wentin.github.io/feather/icons/watch.svg
wifi off,wifi-off.svg,https://wentin.github.io/feather/icons/wifi-off.svg
wifi,wifi.svg,https://wentin.github.io/feather/icons/wifi.svg
wind,wind.svg,https://wentin.github.io/feather/icons/wind.svg
x circle,x-circle.svg,https://wentin.github.io/feather/icons/x-circle.svg
x octagon,x-octagon.svg,https://wentin.github.io/feather/icons/x-octagon.svg
x square,x-square.svg,https://wentin.github.io/feather/icons/x-square.svg
x,x.svg,https://wentin.github.io/feather/icons/x.svg
youtube,youtube.svg,https://wentin.github.io/feather/icons/youtube.svg
zap off,zap-off.svg,https://wentin.github.io/feather/icons/zap-off.svg
zap,zap.svg,https://wentin.github.io/feather/icons/zap.svg
zoom in,zoom-in.svg,https://wentin.github.io/feather/icons/zoom-in.svg
zoom out,zoom-out.svg,https://wentin.github.io/feather/icons/zoom-out.svg
